scheme,Nel,R,dt,T,energy_ratio,energy_decay_rate,max_rel_L2,final_rel_L2,final_rel_H1
theta-0.0,160,1,0.002,5.0,2.0776893399040333e+254,-2.1287800613770835e+254,inf,nan,nan
theta-0.0,160,1,0.001,5.0,2.370564609280327e+254,-1.916382060857176e+254,inf,nan,nan
theta-0.0,160,1,0.0005,5.0,3.274766650589909e+254,-1.59978830023933e+254,inf,nan,nan
theta-0.5,160,1,0.1,5.0,1.0,0.0,18.96827,0.2139022,0.2142179
theta-0.5,160,1,0.05,5.0,1.0,0.0,4.873498,0.03899564,0.0402454
theta-0.5,160,1,0.02,5.0,1.0,0.0,0.9778746,0.004227048,0.01050632
theta-0.5,160,1,0.01,5.0,1.0,0.0,0.495628,0.0006456912,0.009605853
theta-0.5,160,1,0.005,5.0,1.0,0.0,0.1412171,0.0001232449,0.009577777
theta-0.5,160,1,0.002,5.0,1.0,0.0,6.79721,0.0002910537,0.009579687
theta-0.5,160,1,0.001,5.0,1.0,0.0,7.602902,0.0003069178,0.009580027
theta-0.5,160,1,0.0005,5.0,1.0,0.0,7.804335,0.0003154647,0.00958022
theta-1.0,160,1,0.1,5.0,0.00012241537453592486,0.19605442835793416,1.869973,0.9898888,0.9898887
theta-1.0,160,1,0.05,5.0,0.008088147732299003,0.1964181885678616,2.95937,0.9030966,0.9030971
theta-1.0,160,1,0.02,5.0,0.1399658495336991,0.17132154391758983,3.16375,0.6210926,0.6211032
theta-1.0,160,1,0.01,5.0,0.3730350949863145,0.1251426956115141,2.087475,0.3876624,0.3877068
theta-1.0,160,1,0.005,5.0,0.6105429625724829,0.07781359389161181,2.132153,0.2183668,0.2184951
theta-1.0,160,1,0.002,5.0,0.8208566228775946,0.035814349684607234,3.295824,0.09418523,0.09458398
theta-1.0,160,1,0.001,5.0,0.9060297413740692,0.018794051725186146,6.555717,0.04841562,0.04926603
theta-1.0,160,1,0.0005,5.0,0.9518463427781674,0.009629768467519775,7.468662,0.02467147,0.02638083
newmark-0.00,160,1,0.002,5.0,1.0,0.0,8.408659,0.0003419565,0.00958087
newmark-0.00,160,1,0.001,5.0,1.0,0.0,8.005774,0.0003191348,0.009580306
newmark-0.00,160,1,0.0005,5.0,1.0,0.0,7.905055,0.0003185543,0.009580292
newmark-0.25,160,1,0.1,5.0,1.0,0.0,18.96827,0.2139022,0.2142179
newmark-0.25,160,1,0.05,5.0,1.0,0.0,4.873498,0.03899564,0.0402454
newmark-0.25,160,1,0.02,5.0,1.0,0.0,0.9778746,0.004227048,0.01050632
newmark-0.25,160,1,0.01,5.0,1.0,0.0,0.495628,0.0006456916,0.009605853
newmark-0.25,160,1,0.005,5.0,1.0,0.0,0.1412181,0.0001232473,0.009577777
newmark-0.25,160,1,0.002,5.0,1.0,0.0,6.797212,0.0002910558,0.009579687
newmark-0.25,160,1,0.001,5.0,1.0,0.0,7.602904,0.0003069201,0.009580027
newmark-0.25,160,1,0.0005,5.0,1.0,0.0,7.804337,0.000315467,0.00958022
