timestep,time,L2_error,H1_error,rel_L2_error,rel_H1_error
10,0.035,3.248387e-03,2.461224e-01,5.487390e-03,5.859467e-02
20,7.000000e-02,5.033288e-03,2.303115e-01,9.355337e-03,6.032983e-02
30,1.050000e-01,6.082131e-03,2.119597e-01,1.346522e-02,6.613322e-02
40,1.400000e-01,6.500760e-03,1.885182e-01,1.922145e-02,7.855686e-02
50,1.750000e-01,6.361784e-03,1.650608e-01,3.112835e-02,1.138230e-01
60,2.100000e-01,5.790898e-03,1.493799e-01,9.941536e-02,3.614170e-01
70,2.450000e-01,5.010854e-03,1.487156e-01,5.483703e-02,2.293651e-01
80,2.800000e-01,4.393764e-03,1.631293e-01,1.865655e-02,9.761922e-02
90,3.150000e-01,4.392077e-03,1.870878e-01,1.201751e-02,7.214374e-02
100,3.500000e-01,5.119935e-03,2.127259e-01,1.081395e-02,6.332120e-02
110,3.850000e-01,6.228983e-03,2.340484e-01,1.126475e-02,5.965115e-02
120,4.200000e-01,7.328095e-03,2.457770e-01,1.222961e-02,5.780582e-02
130,4.550000e-01,8.163663e-03,2.551985e-01,1.339590e-02,5.901655e-02
140,4.900000e-01,8.590463e-03,2.563270e-01,1.473578e-02,6.196691e-02
150,5.250000e-01,7.894902e-03,2.296032e-01,1.514019e-02,6.205421e-02
160,5.600000e-01,6.747130e-03,2.034859e-01,1.574312e-02,6.691365e-02
170,5.950000e-01,5.812746e-03,1.764314e-01,1.875552e-02,8.022922e-02
180,6.300000e-01,5.611590e-03,1.552728e-01,3.250716e-02,1.267644e-01
190,6.650000e-01,6.219134e-03,1.478865e-01,2.492875e-01,8.354262e-01
200,7.000000e-01,7.184039e-03,1.575575e-01,5.782782e-02,1.787376e-01
210,7.350000e-01,8.029875e-03,1.793411e-01,3.019448e-02,9.504020e-02
220,7.700000e-01,8.470947e-03,2.053690e-01,2.162887e-02,7.390019e-02
230,8.050000e-01,8.391556e-03,2.318421e-01,1.699367e-02,6.616768e-02
240,8.400000e-01,7.820456e-03,2.483352e-01,1.381076e-02,6.180625e-02
250,8.750000e-01,6.996338e-03,2.651626e-01,1.157083e-02,6.180375e-02
260,9.100000e-01,6.243448e-03,2.375957e-01,1.029118e-02,5.519352e-02
270,9.450000e-01,6.278785e-03,2.354155e-01,1.097276e-02,5.798079e-02
280,9.800000e-01,7.483126e-03,1.999108e-01,1.486711e-02,5.597425e-02
290,1.015000e+00,9.313182e-03,1.832247e-01,2.304222e-02,6.388796e-02
300,1.050000e+00,1.143012e-02,1.756787e-01,4.071811e-02,8.819925e-02
310,1.085000e+00,1.315812e-02,1.675098e-01,9.374320e-02,1.681880e-01
320,1.120000e+00,1.411873e-02,1.663312e-01,1.675041e+00,2.781073e+00
330,1.155000e+00,1.418703e-02,1.744036e-01,9.052802e-02,1.568396e-01
340,1.190000e+00,1.335018e-02,1.891281e-01,4.516700e-02,9.017765e-02
350,1.225000e+00,1.169123e-02,2.071558e-01,2.805973e-02,7.006952e-02
360,1.260000e+00,9.434154e-03,2.249339e-01,1.840179e-02,6.183307e-02
370,1.295000e+00,7.116142e-03,2.342658e-01,1.231464e-02,5.713400e-02
380,1.330000e+00,6.066310e-03,2.450724e-01,9.972756e-03,5.677979e-02
390,1.365000e+00,7.582278e-03,2.418597e-01,1.259245e-02,5.660863e-02
400,1.400000e+00,1.074627e-02,2.346040e-01,1.919822e-02,5.906734e-02
410,1.435000e+00,1.428188e-02,2.275494e-01,2.952571e-02,6.629786e-02
420,1.470000e+00,1.756580e-02,2.249596e-01,4.640008e-02,8.374601e-02
430,1.505000e+00,1.997329e-02,2.081429e-01,7.968113e-02,1.170244e-01
440,1.540000e+00,2.150081e-02,1.980737e-01,1.996716e-01,2.592371e-01
450,1.575000e+00,2.220390e-02,2.036775e-01,5.314457e-01,6.870392e-01
460,1.610000e+00,2.183425e-02,2.141942e-01,1.156915e-01,1.599482e-01
470,1.645000e+00,2.022060e-02,2.222336e-01,6.234675e-02,9.656910e-02
480,1.680000e+00,1.737342e-02,2.350331e-01,3.944793e-02,7.521016e-02
490,1.715000e+00,1.351965e-02,2.373585e-01,2.550812e-02,6.311411e-02
500,1.750000e+00,9.324368e-03,2.203593e-01,1.586494e-02,5.283957e-02
510,1.785000e+00,7.056051e-03,2.598160e-01,1.156532e-02,6.001651e-02
520,1.820000e+00,9.476013e-03,2.422413e-01,1.590528e-02,5.730239e-02
530,1.855000e+00,1.447030e-02,2.196639e-01,2.652098e-02,5.673874e-02
540,1.890000e+00,1.990107e-02,2.436696e-01,4.301644e-02,7.422806e-02
550,1.925000e+00,2.457368e-02,2.388072e-01,6.984454e-02,9.565738e-02
560,1.960000e+00,2.817271e-02,2.389240e-01,1.281351e-01,1.531468e-01
570,1.995000e+00,3.022218e-02,2.463629e-01,4.047098e-01,4.649455e-01
