timestep,time,energy
10,0.15625,4.58738
20,0.3125,8.88773
30,0.46875,10.352
40,0.625,10.8065
50,0.78125,10.8065
60,0.9375,10.8065
70,1.09375,10.8065
80,1.25,10.8065
90,1.40625,10.8065
100,1.5625,10.8065
110,1.71875,10.8065
120,1.875,10.8065
130,2.03125,10.8065
140,2.1875,10.8065
150,2.34375,10.8065
160,2.5,10.8065
170,2.65625,10.8065
180,2.8125,10.8065
190,2.96875,10.8065
200,3.125,10.8065
210,3.28125,10.8065
220,3.4375,10.8065
230,3.59375,10.8065
240,3.75,10.8065
250,3.90625,10.8065
260,4.0625,10.8065
270,4.21875,10.8065
280,4.375,10.8065
290,4.53125,10.8065
300,4.6875,10.8065
310,4.84375,10.8065
320,5,10.8065
