h,N_el_x,N_el_y,r,theta,dt,T,rel_L2_error_avg,rel_H1_error_avg
h,N_el_x,N_el_y,r,theta,dt,T,rel_L2_error_avg,rel_H1_error_avg
0.0125,80,80,1,0.5,0.0035,2,1.534032e-01,4.765101e+00
0.0125,80,80,1,0.5,0.0035,2,1.534032e-01,4.765101e+00
0.0125,80,80,1,0.5,0.0035,2,1.534032e-01,4.765101e+00
0.0125,80,80,1,0.5,0.0035,2,1.534032e-01,4.765101e+00
0.0125,80,80,2,0.5,0.0035,2,9.256438e-02,7.564074e+00
0.0125,80,80,2,0.5,0.0035,2,9.256438e-02,7.564074e+00
0.0125,80,80,2,0.5,0.0035,2,9.256438e-02,7.564074e+00
0.0125,80,80,2,0.5,0.0035,2,9.256438e-02,7.564074e+00
0.00625,160,160,2,0.5,0.0035,2,6.416486e-02,1.067404e+01
0.00625,160,160,2,0.5,0.0035,2,6.416486e-02,1.067404e+01
0.00625,160,160,2,0.5,0.0035,2,6.416486e-02,1.067404e+01
0.00625,160,160,2,0.5,0.0035,2,6.416486e-02,1.067404e+01
0.00625,160,160,2,0.5,0.0035,2,6.416486e-02,1.067404e+01
